channel_id,z,element,shell,kappa,occupancy,file,n_rows,e0_min_keV,e0_max_keV,e_th_keV_bote,s_cert_min_A_inv,s_cert_max_A_inv,dataset_version
L3_Z35,35,Br,L3,-2,4.0,F_L3_Z35.json,31,30.0,400.0,1.55353,14.00,16.00,5.0.0
M1_Z35,35,Br,M1,-1,2.0,F_M1_Z35.json,22,30.0,400.0,0.25151,14.00,16.00,5.0.0
M2_Z35,35,Br,M2,1,2.0,F_M2_Z35.json,22,30.0,400.0,0.19183,14.00,16.00,5.0.0
M3_Z35,35,Br,M3,-2,4.0,F_M3_Z35.json,22,30.0,400.0,0.18471,14.00,16.00,5.0.0
M4_Z35,35,Br,M4,2,4.0,F_M4_Z35.json,22,30.0,400.0,0.07952,14.00,16.00,5.0.0
M5_Z35,35,Br,M5,-3,6.0,F_M5_Z35.json,22,30.0,400.0,0.07835,14.00,16.00,5.0.0
K_Z36,36,Kr,K,-1,2.0,F_K_Z36.json,32,30.0,400.0,14.28010,14.00,16.00,5.0.0
L1_Z36,36,Kr,L1,-1,2.0,F_L1_Z36.json,29,30.0,400.0,1.90246,14.00,16.00,5.0.0
L2_Z36,36,Kr,L2,1,2.0,F_L2_Z36.json,29,30.0,400.0,1.72851,14.00,16.00,5.0.0
L3_Z36,36,Kr,L3,-2,4.0,F_L3_Z36.json,27,30.0,400.0,1.67338,14.00,16.00,5.0.0
M1_Z36,36,Kr,M1,-1,2.0,F_M1_Z36.json,22,30.0,400.0,0.27825,14.00,16.00,5.0.0
M2_Z36,36,Kr,M2,1,2.0,F_M2_Z36.json,22,30.0,400.0,0.21519,14.00,16.00,5.0.0
M3_Z36,36,Kr,M3,-2,4.0,F_M3_Z36.json,22,30.0,400.0,0.20694,14.00,16.00,5.0.0
M4_Z36,36,Kr,M4,2,4.0,F_M4_Z36.json,22,30.0,400.0,0.09533,14.00,16.00,5.0.0
M5_Z36,36,Kr,M5,-3,6.0,F_M5_Z36.json,22,30.0,400.0,0.09393,14.00,16.00,5.0.0
K_Z37,37,Rb,K,-1,2.0,F_K_Z37.json,33,30.0,400.0,15.15940,14.00,16.00,5.0.0
L1_Z37,37,Rb,L1,-1,2.0,F_L1_Z37.json,27,30.0,400.0,2.04818,14.00,16.00,5.0.0
L2_Z37,37,Rb,L2,1,2.0,F_L2_Z37.json,29,30.0,400.0,1.86723,14.00,16.00,5.0.0
L3_Z37,37,Rb,L3,-2,4.0,F_L3_Z37.json,29,30.0,400.0,1.80502,14.00,16.00,5.0.0
M1_Z37,37,Rb,M1,-1,2.0,F_M1_Z37.json,22,30.0,400.0,0.31327,14.00,16.00,5.0.0
M2_Z37,37,Rb,M2,1,2.0,F_M2_Z37.json,22,30.0,400.0,0.24677,14.00,16.00,5.0.0
M3_Z37,37,Rb,M3,-2,4.0,F_M3_Z37.json,22,30.0,400.0,0.23727,14.00,16.00,5.0.0
M4_Z37,37,Rb,M4,2,4.0,F_M4_Z37.json,22,30.0,400.0,0.11918,14.00,16.00,5.0.0
M5_Z37,37,Rb,M5,-3,6.0,F_M5_Z37.json,22,30.0,400.0,0.11752,14.00,16.00,5.0.0
K_Z38,38,Sr,K,-1,2.0,F_K_Z38.json,32,30.0,400.0,16.06740,14.00,16.00,5.0.0
L1_Z38,38,Sr,L1,-1,2.0,F_L1_Z38.json,32,30.0,400.0,2.20032,14.00,16.00,5.0.0
L2_Z38,38,Sr,L2,1,2.0,F_L2_Z38.json,29,30.0,400.0,2.01230,14.00,16.00,5.0.0
L3_Z38,38,Sr,L3,-2,4.0,F_L3_Z38.json,31,30.0,400.0,1.94234,14.00,16.00,5.0.0
M1_Z38,38,Sr,M1,-1,2.0,F_M1_Z38.json,22,30.0,400.0,0.35041,14.00,16.00,5.0.0
M2_Z38,38,Sr,M2,1,2.0,F_M2_Z38.json,22,30.0,400.0,0.28041,14.00,16.00,5.0.0
M3_Z38,38,Sr,M3,-2,4.0,F_M3_Z38.json,22,30.0,400.0,0.26951,14.00,16.00,5.0.0
M4_Z38,38,Sr,M4,2,4.0,F_M4_Z38.json,22,30.0,400.0,0.14490,14.00,16.00,5.0.0
M5_Z38,38,Sr,M5,-3,6.0,F_M5_Z38.json,22,30.0,400.0,0.14295,14.00,16.00,5.0.0
K_Z39,39,Y,K,-1,2.0,F_K_Z39.json,36,30.0,400.0,17.00080,14.00,16.00,5.0.0
L1_Z39,39,Y,L1,-1,2.0,F_L1_Z39.json,31,30.0,400.0,2.35500,14.00,16.00,5.0.0
L2_Z39,39,Y,L2,1,2.0,F_L2_Z39.json,29,30.0,400.0,2.15984,14.00,16.00,5.0.0
L3_Z39,39,Y,L3,-2,4.0,F_L3_Z39.json,28,30.0,400.0,2.08140,14.00,16.00,5.0.0
M1_Z39,39,Y,M1,-1,2.0,F_M1_Z39.json,23,30.0,400.0,0.38585,14.00,16.00,5.0.0
M2_Z39,39,Y,M2,1,2.0,F_M2_Z39.json,22,30.0,400.0,0.31231,14.00,16.00,5.0.0
M3_Z39,39,Y,M3,-2,4.0,F_M3_Z39.json,22,30.0,400.0,0.29986,14.00,16.00,5.0.0
M4_Z39,39,Y,M4,2,4.0,F_M4_Z39.json,22,30.0,400.0,0.16868,14.00,16.00,5.0.0
M5_Z39,39,Y,M5,-3,6.0,F_M5_Z39.json,22,30.0,400.0,0.16640,14.00,16.00,5.0.0
K_Z40,40,Zr,K,-1,2.0,F_K_Z40.json,34,30.0,400.0,17.96190,14.00,16.00,5.0.0
L1_Z40,40,Zr,L1,-1,2.0,F_L1_Z40.json,25,30.0,400.0,2.51473,14.00,16.00,5.0.0
L2_Z40,40,Zr,L2,1,2.0,F_L2_Z40.json,30,30.0,400.0,2.31236,14.00,16.00,5.0.0
L3_Z40,40,Zr,L3,-2,4.0,F_L3_Z40.json,30,30.0,400.0,2.22466,14.00,16.00,5.0.0
M1_Z40,40,Zr,M1,-1,2.0,F_M1_Z40.json,23,30.0,400.0,0.42208,14.00,16.00,5.0.0
M2_Z40,40,Zr,M2,1,2.0,F_M2_Z40.json,22,30.0,400.0,0.34495,14.00,16.00,5.0.0
M3_Z40,40,Zr,M3,-2,4.0,F_M3_Z40.json,22,30.0,400.0,0.33077,14.00,16.00,5.0.0
M4_Z40,40,Zr,M4,2,4.0,F_M4_Z40.json,22,30.0,400.0,0.19298,14.00,16.00,5.0.0
M5_Z40,40,Zr,M5,-3,6.0,F_M5_Z40.json,22,30.0,400.0,0.19033,14.00,16.00,5.0.0
K_Z41,41,Nb,K,-1,2.0,F_K_Z41.json,35,30.0,400.0,18.95130,14.00,16.00,5.0.0
L1_Z41,41,Nb,L1,-1,2.0,F_L1_Z41.json,31,30.0,400.0,2.67980,14.00,16.00,5.0.0
L2_Z41,41,Nb,L2,1,2.0,F_L2_Z41.json,26,30.0,400.0,2.47012,14.00,16.00,5.0.0
