Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
20,Ca,L1,0,100,30,1.089056,1.441e-04,0.000e+00,1.769e-04
20,Ca,L1,0,100,100,1.055667,3.459e-04,0.000e+00,1.790e-04
20,Ca,L1,0,200,10,1.126898,1.064e-04,0.000e+00,4.420e-05
20,Ca,L1,0,200,30,1.096953,1.738e-04,0.000e+00,4.856e-05
20,Ca,L1,0,200,100,1.066681,4.215e-04,0.000e+00,4.764e-05
20,Ca,L1,0,50,10,1.123051,2.422e-05,0.000e+00,1.387e-04
20,Ca,L1,0,50,30,1.097504,1.304e-04,0.000e+00,1.540e-04
20,Ca,L1,0,50,100,1.069499,3.199e-04,0.000e+00,1.572e-04
20,Ca,L1,50,150,10,1.128023,1.265e-04,0.000e+00,0.000e+00
20,Ca,L1,50,150,30,1.085464,1.804e-04,0.000e+00,0.000e+00
20,Ca,L1,50,150,100,1.048134,4.230e-04,0.000e+00,0.000e+00
20,Ca,L2,0,100,10,1.270571,1.532e-04,0.000e+00,2.822e-04
20,Ca,L2,0,100,30,1.218723,2.459e-04,0.000e+00,2.709e-04
20,Ca,L2,0,100,100,1.192785,2.795e-04,0.000e+00,2.680e-04
20,Ca,L2,0,200,10,1.242813,2.249e-04,0.000e+00,8.810e-05
20,Ca,L2,0,200,30,1.191397,3.176e-04,0.000e+00,8.187e-05
20,Ca,L2,0,200,100,1.161381,3.693e-04,0.000e+00,8.004e-05
20,Ca,L2,0,50,10,1.324829,1.123e-04,0.000e+00,2.212e-04
20,Ca,L2,0,50,30,1.272142,2.097e-04,0.000e+00,2.167e-04
20,Ca,L2,0,50,100,1.248103,2.344e-04,0.000e+00,2.155e-04
20,Ca,L2,50,150,10,1.184010,2.689e-04,0.000e+00,0.000e+00
20,Ca,L2,50,150,30,1.138321,3.454e-04,0.000e+00,0.000e+00
20,Ca,L2,50,150,100,1.108728,4.042e-04,0.000e+00,0.000e+00
20,Ca,L3,0,100,10,1.272987,1.547e-04,0.000e+00,2.841e-04
20,Ca,L3,0,100,30,1.220821,2.470e-04,0.000e+00,2.727e-04
20,Ca,L3,0,100,100,1.195105,2.822e-04,0.000e+00,2.698e-04
20,Ca,L3,0,200,10,1.245080,2.264e-04,0.000e+00,8.896e-05
20,Ca,L3,0,200,30,1.193291,3.205e-04,0.000e+00,8.264e-05
20,Ca,L3,0,200,100,1.163451,3.724e-04,0.000e+00,8.080e-05
20,Ca,L3,0,50,10,1.327483,1.133e-04,0.000e+00,2.222e-04
20,Ca,L3,0,50,30,1.274523,2.135e-04,0.000e+00,2.176e-04
20,Ca,L3,0,50,100,1.250737,2.370e-04,0.000e+00,2.165e-04
20,Ca,L3,50,150,10,1.185479,2.717e-04,0.000e+00,0.000e+00
20,Ca,L3,50,150,30,1.139488,3.475e-04,0.000e+00,0.000e+00
20,Ca,L3,50,150,100,1.110048,4.082e-04,0.000e+00,0.000e+00
21,Sc,K,0,100,10,1.136691,2.707e-05,0.000e+00,1.244e-04
21,Sc,K,0,100,30,1.112129,3.313e-05,0.000e+00,1.233e-04
21,Sc,K,0,100,100,1.063784,7.860e-05,0.000e+00,1.222e-04
21,Sc,K,0,200,10,1.136385,4.064e-05,0.000e+00,2.882e-05
21,Sc,K,0,200,30,1.112042,4.550e-05,0.000e+00,2.833e-05
21,Sc,K,0,200,100,1.063632,8.455e-05,0.000e+00,2.780e-05
21,Sc,K,0,50,10,1.137871,1.979e-05,0.000e+00,1.213e-04
21,Sc,K,0,50,30,1.113224,2.642e-05,0.000e+00,1.208e-04
21,Sc,K,0,50,100,1.064990,7.506e-05,0.000e+00,1.203e-04
21,Sc,K,50,150,10,1.135799,4.004e-05,0.000e+00,0.000e+00
21,Sc,K,50,150,30,1.111453,4.476e-05,0.000e+00,0.000e+00
21,Sc,K,50,150,100,1.062983,8.353e-05,0.000e+00,0.000e+00
21,Sc,L1,0,100,10,1.131811,4.998e-05,0.000e+00,1.562e-04
21,Sc,L1,0,100,30,1.092933,1.182e-04,0.000e+00,1.592e-04
21,Sc,L1,0,100,100,1.057659,3.473e-04,0.000e+00,1.571e-04
21,Sc,L1,0,200,10,1.127062,1.011e-04,0.000e+00,4.301e-05
21,Sc,L1,0,200,30,1.090604,1.528e-04,0.000e+00,4.340e-05
21,Sc,L1,0,200,100,1.055750,3.955e-04,0.000e+00,4.171e-05
21,Sc,L1,0,50,10,1.137200,2.074e-05,0.000e+00,1.373e-04
